day,month,year,daily_policy_index
1,1,2001,50.70
2,1,2001,110.77
3,1,2001,179.41
4,1,2001,183.22
5,1,2001,89.31
6,1,2001,112.22
7,1,2001,114.25
8,1,2001,365.29
9,1,2001,260.13
10,1,2001,268.23
11,1,2001,140.42
12,1,2001,182.32
13,1,2001,179.62
14,1,2001,132.53
15,1,2001,249.26
16,1,2001,208.63
17,1,2001,262.46
18,1,2001,183.97
19,1,2001,190.07
20,1,2001,71.65
21,1,2001,38.25
22,1,2001,74.13
23,1,2001,70.61
24,1,2001,172.06
25,1,2001,267.58
26,1,2001,230.49
27,1,2001,218.97
28,1,2001,72.76
29,1,2001,124.19
30,1,2001,79.66
31,1,2001,359.91
1,2,2001,87.87
2,2,2001,70.70
3,2,2001,132.39
4,2,2001,92.54
5,2,2001,116.51
6,2,2001,127.85
7,2,2001,222.73
8,2,2001,155.24
9,2,2001,275.37
10,2,2001,119.31
11,2,2001,145.74
12,2,2001,142.66
13,2,2001,172.12
14,2,2001,83.98
15,2,2001,218.28
16,2,2001,91.22
17,2,2001,326.13
18,2,2001,325.44
19,2,2001,88.74
20,2,2001,188.68
21,2,2001,125.88
22,2,2001,410.79
23,2,2001,386.40
24,2,2001,264.24
25,2,2001,0.00
26,2,2001,146.74
27,2,2001,108.16
28,2,2001,269.40
1,3,2001,27.02
2,3,2001,301.65
3,3,2001,210.74
4,3,2001,83.93
5,3,2001,97.38
6,3,2001,515.50
7,3,2001,304.65
8,3,2001,297.09
9,3,2001,276.09
10,3,2001,128.90
11,3,2001,0.00
12,3,2001,257.31
13,3,2001,375.97
14,3,2001,219.17
15,3,2001,243.92
16,3,2001,388.37
17,3,2001,278.70
18,3,2001,125.69
19,3,2001,170.17
20,3,2001,131.59
21,3,2001,170.25
22,3,2001,208.52
23,3,2001,229.67
24,3,2001,323.05
25,3,2001,282.88
26,3,2001,133.54
27,3,2001,331.57
28,3,2001,293.30
29,3,2001,239.30
30,3,2001,254.28
31,3,2001,203.48
1,4,2001,116.06
2,4,2001,255.47
3,4,2001,372.42
4,4,2001,210.15
5,4,2001,448.98
6,4,2001,247.70
7,4,2001,166.27
8,4,2001,233.11
9,4,2001,206.76
10,4,2001,131.43
11,4,2001,447.32
12,4,2001,373.00
13,4,2001,179.79
14,4,2001,188.64
15,4,2001,158.41
16,4,2001,123.61
17,4,2001,142.53
18,4,2001,292.09
19,4,2001,470.81
20,4,2001,281.09
21,4,2001,220.22
22,4,2001,236.82
23,4,2001,171.99
24,4,2001,353.13
25,4,2001,253.69
26,4,2001,146.14
27,4,2001,142.60
28,4,2001,211.59
29,4,2001,87.91
30,4,2001,165.20
1,5,2001,291.82
2,5,2001,256.56
3,5,2001,154.44
4,5,2001,297.60
5,5,2001,161.52
6,5,2001,135.74
7,5,2001,131.30
8,5,2001,207.78
9,5,2001,298.90
10,5,2001,73.65
11,5,2001,284.58
12,5,2001,185.88
13,5,2001,203.82
14,5,2001,127.93
15,5,2001,237.92
16,5,2001,283.88
17,5,2001,439.94
18,5,2001,269.68
19,5,2001,134.73
20,5,2001,97.18
21,5,2001,66.97
22,5,2001,118.82
23,5,2001,260.90
24,5,2001,270.64
25,5,2001,143.39
26,5,2001,202.01
27,5,2001,188.76
28,5,2001,157.03
29,5,2001,25.93
30,5,2001,48.57
31,5,2001,69.17
1,6,2001,108.92
2,6,2001,35.87
3,6,2001,98.71
4,6,2001,0.00
5,6,2001,103.85
6,6,2001,30.50
7,6,2001,189.37
8,6,2001,151.43
9,6,2001,92.45
10,6,2001,216.50
11,6,2001,188.99
12,6,2001,116.75
13,6,2001,294.07
14,6,2001,176.41
15,6,2001,71.63
16,6,2001,230.27
17,6,2001,86.80
18,6,2001,154.86
19,6,2001,59.42
20,6,2001,171.69
21,6,2001,334.59
22,6,2001,209.72
23,6,2001,177.21
24,6,2001,256.20
25,6,2001,0.00
26,6,2001,219.10
27,6,2001,277.58
28,6,2001,261.59
29,6,2001,58.43
30,6,2001,110.96
1,7,2001,85.61
2,7,2001,455.09
3,7,2001,236.09
4,7,2001,48.82
5,7,2001,185.07
6,7,2001,485.00
7,7,2001,307.25
8,7,2001,41.78
9,7,2001,286.51
10,7,2001,232.76
11,7,2001,363.45
12,7,2001,309.52
13,7,2001,220.57
14,7,2001,26.51
15,7,2001,90.39
16,7,2001,373.00
17,7,2001,333.41
18,7,2001,532.24
19,7,2001,155.55
20,7,2001,398.45
21,7,2001,241.91
22,7,2001,254.86
23,7,2001,277.36
24,7,2001,257.76
25,7,2001,224.75
26,7,2001,313.58
27,7,2001,137.07
28,7,2001,287.80
29,7,2001,186.59
30,7,2001,233.19
31,7,2001,333.98
1,8,2001,286.85
2,8,2001,385.73
3,8,2001,548.92
4,8,2001,320.16
5,8,2001,129.21
6,8,2001,166.85
7,8,2001,266.17
8,8,2001,288.12
9,8,2001,320.14
10,8,2001,226.45
11,8,2001,521.37
12,8,2001,157.24
13,8,2001,257.84
14,8,2001,188.57
15,8,2001,318.70
16,8,2001,357.69
17,8,2001,328.49
18,8,2001,106.14
19,8,2001,414.47
20,8,2001,334.51
21,8,2001,35.28
22,8,2001,192.21
23,8,2001,360.20
24,8,2001,321.76
25,8,2001,372.42
26,8,2001,126.52
27,8,2001,80.01
28,8,2001,451.80
29,8,2001,304.00
30,8,2001,480.49
31,8,2001,509.81
1,9,2001,315.05
2,9,2001,83.36
3,9,2001,229.56
4,9,2001,182.06
5,9,2001,187.76
6,9,2001,559.55
7,9,2001,275.18
8,9,2001,189.26
9,9,2001,326.04
10,9,2001,134.53
11,9,2001,352.33
12,9,2001,506.48
13,9,2001,837.57
14,9,2001,465.24
15,9,2001,456.21
16,9,2001,733.89
17,9,2001,551.86
18,9,2001,753.17
19,9,2001,696.53
20,9,2001,723.61
21,9,2001,424.42
22,9,2001,697.03
23,9,2001,543.24
24,9,2001,634.70
25,9,2001,541.83
26,9,2001,457.38
27,9,2001,413.52
28,9,2001,610.30
29,9,2001,640.45
30,9,2001,590.91
1,10,2001,445.72
2,10,2001,930.71
3,10,2001,552.25
4,10,2001,226.37
5,10,2001,760.16
6,10,2001,407.07
7,10,2001,695.69
8,10,2001,357.15
9,10,2001,427.41
10,10,2001,385.07
11,10,2001,239.88
12,10,2001,484.91
13,10,2001,340.03
14,10,2001,262.94
15,10,2001,222.34
16,10,2001,600.61
17,10,2001,314.67
18,10,2001,583.56
19,10,2001,362.20
20,10,2001,183.87
21,10,2001,260.46
22,10,2001,376.09
23,10,2001,367.22
24,10,2001,354.75
25,10,2001,325.28
26,10,2001,279.88
27,10,2001,438.31
28,10,2001,120.23
29,10,2001,241.71
30,10,2001,226.56
31,10,2001,360.64
1,11,2001,146.53
2,11,2001,599.18
3,11,2001,298.38
4,11,2001,463.65
5,11,2001,293.89
6,11,2001,771.45
7,11,2001,630.99
8,11,2001,450.65
9,11,2001,496.03
10,11,2001,254.80
11,11,2001,391.91
12,11,2001,214.79
13,11,2001,429.89
14,11,2001,241.75
15,11,2001,215.82
16,11,2001,396.37
17,11,2001,450.57
18,11,2001,197.96
19,11,2001,346.46
20,11,2001,344.44
21,11,2001,283.17
22,11,2001,225.86
23,11,2001,438.01
24,11,2001,228.34
25,11,2001,390.79
26,11,2001,384.67
27,11,2001,268.64
28,11,2001,468.26
29,11,2001,166.70
30,11,2001,172.54
1,12,2001,216.24
2,12,2001,172.72
3,12,2001,160.95
4,12,2001,827.08
5,12,2001,326.88
6,12,2001,287.90
7,12,2001,113.88
8,12,2001,106.31
9,12,2001,253.81
10,12,2001,206.48
11,12,2001,66.01
12,12,2001,265.22
13,12,2001,125.74
14,12,2001,217.04
15,12,2001,93.14
16,12,2001,237.55
17,12,2001,356.93
18,12,2001,248.23
19,12,2001,270.83
20,12,2001,499.21
21,12,2001,121.18
22,12,2001,73.49
23,12,2001,295.08
24,12,2001,85.73
25,12,2001,0.00
26,12,2001,0.00
27,12,2001,141.61
28,12,2001,310.42
29,12,2001,532.76
30,12,2001,547.98
31,12,2001,265.21
1,1,2002,189.50
2,1,2002,261.35
3,1,2002,379.43
4,1,2002,326.82
5,1,2002,197.01
6,1,2002,523.17
7,1,2002,383.24
8,1,2002,330.39
9,1,2002,158.67
10,1,2002,216.14
11,1,2002,278.15
12,1,2002,206.24
13,1,2002,109.93
14,1,2002,202.35
15,1,2002,204.83
16,1,2002,106.79
17,1,2002,246.95
18,1,2002,215.62
19,1,2002,149.33
20,1,2002,371.41
21,1,2002,198.04
22,1,2002,231.44
23,1,2002,183.17
24,1,2002,83.74
25,1,2002,192.07
26,1,2002,114.94
27,1,2002,416.86
28,1,2002,176.82
29,1,2002,46.66
30,1,2002,231.21
31,1,2002,395.82
1,2,2002,236.62
2,2,2002,151.34
3,2,2002,243.24
4,2,2002,384.32
5,2,2002,426.41
6,2,2002,236.95
7,2,2002,195.37
8,2,2002,278.44
9,2,2002,113.83
10,2,2002,240.31
11,2,2002,149.45
12,2,2002,188.48
13,2,2002,138.85
14,2,2002,145.22
15,2,2002,93.22
16,2,2002,181.88
17,2,2002,76.45
18,2,2002,56.53
19,2,2002,251.43
20,2,2002,111.97
21,2,2002,189.37
22,2,2002,282.17
23,2,2002,191.05
24,2,2002,172.04
25,2,2002,241.74
26,2,2002,105.94
27,2,2002,180.09
28,2,2002,195.15
1,3,2002,214.63
2,3,2002,159.38
3,3,2002,262.11
4,3,2002,218.19
5,3,2002,127.09
6,3,2002,314.00
7,3,2002,56.70
8,3,2002,444.53
9,3,2002,259.23
10,3,2002,144.06
11,3,2002,81.43
12,3,2002,229.33
13,3,2002,305.94
14,3,2002,144.87
15,3,2002,105.55
16,3,2002,159.30
17,3,2002,73.74
18,3,2002,51.68
19,3,2002,125.25
20,3,2002,82.96
21,3,2002,145.13
22,3,2002,154.47
23,3,2002,64.61
24,3,2002,141.71
25,3,2002,101.81
26,3,2002,102.19
27,3,2002,123.91
28,3,2002,138.82
29,3,2002,46.81
30,3,2002,290.31
31,3,2002,162.68
1,4,2002,78.76
2,4,2002,128.21
3,4,2002,95.53
4,4,2002,123.81
5,4,2002,159.14
6,4,2002,168.71
7,4,2002,68.61
8,4,2002,51.25
9,4,2002,76.84
10,4,2002,269.74
11,4,2002,74.83
12,4,2002,38.90
13,4,2002,66.31
14,4,2002,219.23
15,4,2002,47.21
16,4,2002,155.33
17,4,2002,216.35
18,4,2002,536.51
19,4,2002,213.94
20,4,2002,48.43
21,4,2002,255.40
22,4,2002,170.07
23,4,2002,97.43
24,4,2002,129.63
25,4,2002,93.02
26,4,2002,114.80
27,4,2002,71.35
28,4,2002,193.38
29,4,2002,49.77
30,4,2002,138.30
1,5,2002,132.95
2,5,2002,133.05
3,5,2002,130.91
4,5,2002,88.35
5,5,2002,309.10
6,5,2002,308.17
7,5,2002,265.72
8,5,2002,258.15
9,5,2002,193.50
10,5,2002,138.89
11,5,2002,101.65
12,5,2002,197.65
13,5,2002,244.69
14,5,2002,181.12
15,5,2002,246.49
16,5,2002,254.08
17,5,2002,125.54
18,5,2002,121.80
19,5,2002,190.46
20,5,2002,178.13
21,5,2002,242.57
22,5,2002,174.25
23,5,2002,0.00
24,5,2002,169.39
25,5,2002,258.19
26,5,2002,233.82
27,5,2002,193.20
28,5,2002,129.62
29,5,2002,176.88
30,5,2002,81.26
31,5,2002,148.13
1,6,2002,236.09
2,6,2002,189.34
3,6,2002,67.21
4,6,2002,146.12
5,6,2002,233.63
6,6,2002,435.88
7,6,2002,373.25
8,6,2002,161.16
9,6,2002,198.11
10,6,2002,141.20
11,6,2002,177.61
12,6,2002,223.60
13,6,2002,243.44
14,6,2002,224.93
15,6,2002,192.63
16,6,2002,191.46
17,6,2002,274.49
18,6,2002,226.63
19,6,2002,207.67
20,6,2002,274.28
21,6,2002,171.44
22,6,2002,127.26
23,6,2002,234.77
24,6,2002,307.20
25,6,2002,301.63
26,6,2002,300.70
27,6,2002,355.26
28,6,2002,352.77
29,6,2002,203.21
30,6,2002,248.08
1,7,2002,472.91
2,7,2002,149.02
3,7,2002,236.09
4,7,2002,181.50
5,7,2002,103.24
6,7,2002,182.26
7,7,2002,314.71
8,7,2002,166.77
9,7,2002,299.34
10,7,2002,166.41
11,7,2002,269.73
12,7,2002,194.28
13,7,2002,263.40
14,7,2002,274.88
15,7,2002,354.96
16,7,2002,474.95
17,7,2002,399.34
18,7,2002,211.33
19,7,2002,86.46
20,7,2002,81.22
21,7,2002,91.93
22,7,2002,184.64
23,7,2002,247.79
24,7,2002,196.69
25,7,2002,115.62
26,7,2002,191.43
27,7,2002,265.26
28,7,2002,41.96
29,7,2002,217.15
30,7,2002,406.36
31,7,2002,217.91
1,8,2002,103.83
2,8,2002,565.52
3,8,2002,198.66
4,8,2002,199.29
5,8,2002,278.50
6,8,2002,216.39
7,8,2002,282.49
8,8,2002,266.64
9,8,2002,244.59
10,8,2002,301.58
11,8,2002,284.01
12,8,2002,318.58
13,8,2002,173.64
14,8,2002,313.85
15,8,2002,258.68
16,8,2002,302.89
17,8,2002,213.72
18,8,2002,145.84
19,8,2002,159.63
20,8,2002,214.95
21,8,2002,431.97
22,8,2002,344.80
23,8,2002,462.00
24,8,2002,110.96
25,8,2002,263.01
26,8,2002,176.50
27,8,2002,182.57
28,8,2002,134.18
29,8,2002,134.56
30,8,2002,247.70
31,8,2002,105.38
1,9,2002,304.35
2,9,2002,265.13
3,9,2002,389.51
4,9,2002,495.04
5,9,2002,540.26
6,9,2002,190.54
7,9,2002,466.23
8,9,2002,477.81
9,9,2002,252.58
10,9,2002,494.79
11,9,2002,357.15
12,9,2002,479.27
13,9,2002,398.68
14,9,2002,247.44
15,9,2002,374.45
16,9,2002,178.37
17,9,2002,259.72
18,9,2002,264.45
19,9,2002,168.81
20,9,2002,483.56
21,9,2002,313.03
22,9,2002,130.59
23,9,2002,282.97
24,9,2002,358.11
25,9,2002,522.57
26,9,2002,241.38
27,9,2002,285.47
28,9,2002,186.39
29,9,2002,346.54
30,9,2002,267.04
1,10,2002,378.52
2,10,2002,227.15
3,10,2002,187.98
4,10,2002,280.70
5,10,2002,407.23
6,10,2002,170.58
7,10,2002,386.84
8,10,2002,426.56
9,10,2002,49.20
10,10,2002,127.57
11,10,2002,231.69
12,10,2002,168.12
13,10,2002,170.73
14,10,2002,286.28
15,10,2002,284.71
16,10,2002,332.11
17,10,2002,252.97
18,10,2002,393.64
19,10,2002,120.07
20,10,2002,118.05
21,10,2002,97.18
22,10,2002,182.91
23,10,2002,167.63
24,10,2002,497.68
25,10,2002,316.18
26,10,2002,135.82
27,10,2002,213.55
28,10,2002,112.15
29,10,2002,262.83
30,10,2002,312.63
31,10,2002,236.29
1,11,2002,231.30
2,11,2002,232.57
3,11,2002,125.63
4,11,2002,198.77
5,11,2002,231.56
6,11,2002,261.63
7,11,2002,593.86
8,11,2002,195.51
9,11,2002,157.18
10,11,2002,410.85
11,11,2002,179.62
12,11,2002,448.46
13,11,2002,408.31
14,11,2002,225.90
15,11,2002,297.17
16,11,2002,208.97
17,11,2002,209.34
18,11,2002,160.91
19,11,2002,232.64
20,11,2002,309.15
21,11,2002,249.80
22,11,2002,451.18
23,11,2002,124.64
24,11,2002,267.36
25,11,2002,308.90
26,11,2002,326.29
27,11,2002,131.36
28,11,2002,570.25
29,11,2002,147.09
30,11,2002,204.79
1,12,2002,226.82
2,12,2002,299.21
3,12,2002,153.09
4,12,2002,450.69
5,12,2002,380.82
6,12,2002,502.07
7,12,2002,197.35
8,12,2002,405.89
9,12,2002,319.86
10,12,2002,570.21
11,12,2002,282.19
12,12,2002,320.65
13,12,2002,367.66
14,12,2002,211.96
15,12,2002,319.10
16,12,2002,100.79
17,12,2002,268.88
18,12,2002,198.14
19,12,2002,264.87
20,12,2002,201.28
21,12,2002,196.88
22,12,2002,454.81
23,12,2002,148.64
24,12,2002,234.71
25,12,2002,0.00
26,12,2002,115.09
27,12,2002,121.66
28,12,2002,343.77
29,12,2002,530.80
30,12,2002,236.31
31,12,2002,374.31
1,1,2003,569.28
2,1,2003,209.72
3,1,2003,303.77
4,1,2003,271.75
5,1,2003,667.91
6,1,2003,244.60
7,1,2003,889.79
8,1,2003,571.75
9,1,2003,306.72
10,1,2003,233.23
11,1,2003,335.43
12,1,2003,279.30
13,1,2003,169.13
14,1,2003,299.00
15,1,2003,203.86
16,1,2003,289.67
17,1,2003,310.56
18,1,2003,347.06
19,1,2003,377.90
20,1,2003,256.34
